date,county,state,fips,cases,deaths,date_rec
2020-06-10,Fulton,Georgia,13121,4989,273,2020-06-10
2020-06-11,Fulton,Georgia,13121,5031,273,2020-06-11
2020-06-12,Fulton,Georgia,13121,5069,280,2020-06-12
2020-06-13,Fulton,Georgia,13121,5100,284,2020-06-13
2020-06-14,Fulton,Georgia,13121,5106,285,2020-06-14
2020-06-15,Fulton,Georgia,13121,5157,290,2020-06-15
2020-06-16,Fulton,Georgia,13121,5148,295,2020-06-16
2020-06-17,Fulton,Georgia,13121,5292,299,2020-06-17
2020-06-18,Fulton,Georgia,13121,5325,301,2020-06-18
2020-06-19,Fulton,Georgia,13121,5400,304,2020-06-19
2020-06-20,Fulton,Georgia,13121,5444,304,2020-06-20
2020-06-21,Fulton,Georgia,13121,5496,304,2020-06-21
2020-06-22,Fulton,Georgia,13121,5705,304,2020-06-22
