date|county|state|fips|cases|deaths|date_rec|daily_county_cfr
2020-06-11|Genesee|Michigan|26049|2564|283|2020-06-11|11.04
2020-06-12|Genesee|Michigan|26049|2566|281|2020-06-12|10.95
2020-06-13|Genesee|Michigan|26049|2573|283|2020-06-13|11
2020-06-14|Genesee|Michigan|26049|2574|282|2020-06-14|10.96
2020-06-15|Genesee|Michigan|26049|2583|282|2020-06-15|10.92
2020-06-16|Genesee|Michigan|26049|2589|283|2020-06-16|10.93
2020-06-17|Genesee|Michigan|26049|2596|283|2020-06-17|10.9
2020-06-18|Genesee|Michigan|26049|2605|283|2020-06-18|10.86
2020-06-19|Genesee|Michigan|26049|2619|283|2020-06-19|10.81
2020-06-20|Genesee|Michigan|26049|2625|284|2020-06-20|10.82
2020-06-21|Genesee|Michigan|26049|2631|284|2020-06-21|10.79
2020-06-22|Genesee|Michigan|26049|2634|284|2020-06-22|10.78
2020-06-23|Genesee|Michigan|26049|2640|285|2020-06-23|10.8
2020-06-24|Genesee|Michigan|26049|2668|285|2020-06-24|10.68
2020-06-25|Genesee|Michigan|26049|2669|285|2020-06-25|10.68
2020-06-26|Genesee|Michigan|26049|2682|285|2020-06-26|10.63
2020-06-27|Genesee|Michigan|26049|2683|288|2020-06-27|10.73
2020-06-28|Genesee|Michigan|26049|2690|288|2020-06-28|10.71
2020-06-29|Genesee|Michigan|26049|2715|288|2020-06-29|10.61
2020-06-30|Genesee|Michigan|26049|2734|288|2020-06-30|10.53
