date_rec|deaths_daily_nyt|positive_daily_cases_nyt|p_pos|positive_daily_cases_cvt|negative_daily_cases_cvt|pending_daily_cases_cvt|p_pend|total_daily_cases_cvt
2020-06-10|2292|51465|9.45|53980|516975|NA|NA|570955
2020-06-11|2337|52332|9.41|54973|529268|NA|NA|584241
2020-06-12|2384|53201|9.42|55783|536175|NA|NA|591958
2020-06-13|2411|54178|9.47|56801|542879|NA|NA|599680
2020-06-14|2416|54874|9.29|57681|563109|NA|NA|620790
2020-06-15|2457|55505|9.26|58414|572082|NA|NA|630496
2020-06-16|2492|56302|9.3|59078|575900|NA|NA|634978
2020-06-17|2536|57217|9.23|60030|590437|NA|NA|650467
2020-06-18|2565|58040|9.18|60912|602292|NA|NA|663204
2020-06-19|2596|59117|9.25|62009|608297|NA|NA|670306
2020-06-20|2602|60669|9.19|63809|630575|NA|NA|694384
2020-06-21|2603|61493|9.27|64701|633606|NA|NA|698307
2020-06-22|2607|62705|9.31|65928|642098|NA|NA|708026
