date|county|state|fips|cases|deaths|date_rec|daily_county_cfr
2020-05-22|Stafford|Virginia|51179|552|4|2020-05-22|0.72
2020-05-23|Stafford|Virginia|51179|569|4|2020-05-23|0.7
2020-05-24|Stafford|Virginia|51179|581|4|2020-05-24|0.69
2020-05-25|Stafford|Virginia|51179|599|4|2020-05-25|0.67
2020-05-26|Stafford|Virginia|51179|642|4|2020-05-26|0.62
2020-05-27|Stafford|Virginia|51179|657|4|2020-05-27|0.61
2020-05-28|Stafford|Virginia|51179|672|4|2020-05-28|0.6
2020-05-29|Stafford|Virginia|51179|681|4|2020-05-29|0.59
2020-05-30|Stafford|Virginia|51179|702|4|2020-05-30|0.57
2020-05-31|Stafford|Virginia|51179|713|4|2020-05-31|0.56
2020-06-01|Stafford|Virginia|51179|722|5|2020-06-01|0.69
2020-06-02|Stafford|Virginia|51179|733|5|2020-06-02|0.68
2020-06-03|Stafford|Virginia|51179|738|5|2020-06-03|0.68
2020-06-04|Stafford|Virginia|51179|742|5|2020-06-04|0.67
2020-06-05|Stafford|Virginia|51179|750|5|2020-06-05|0.67
2020-06-06|Stafford|Virginia|51179|765|5|2020-06-06|0.65
2020-06-07|Stafford|Virginia|51179|803|5|2020-06-07|0.62
2020-06-08|Stafford|Virginia|51179|815|5|2020-06-08|0.61
2020-06-09|Stafford|Virginia|51179|824|5|2020-06-09|0.61
2020-06-10|Stafford|Virginia|51179|831|5|2020-06-10|0.6
2020-06-11|Stafford|Virginia|51179|841|5|2020-06-11|0.59
2020-06-12|Stafford|Virginia|51179|862|5|2020-06-12|0.58
2020-06-13|Stafford|Virginia|51179|877|5|2020-06-13|0.57
2020-06-14|Stafford|Virginia|51179|887|5|2020-06-14|0.56
2020-06-15|Stafford|Virginia|51179|893|5|2020-06-15|0.56
2020-06-16|Stafford|Virginia|51179|900|5|2020-06-16|0.56
2020-06-17|Stafford|Virginia|51179|906|5|2020-06-17|0.55
2020-06-18|Stafford|Virginia|51179|917|5|2020-06-18|0.55
2020-06-19|Stafford|Virginia|51179|921|5|2020-06-19|0.54
2020-06-20|Stafford|Virginia|51179|920|5|2020-06-20|0.54
2020-06-21|Stafford|Virginia|51179|924|5|2020-06-21|0.54
2020-06-22|Stafford|Virginia|51179|930|5|2020-06-22|0.54
2020-06-23|Stafford|Virginia|51179|936|5|2020-06-23|0.53
2020-06-24|Stafford|Virginia|51179|949|5|2020-06-24|0.53
2020-06-25|Stafford|Virginia|51179|954|5|2020-06-25|0.52
2020-06-26|Stafford|Virginia|51179|965|5|2020-06-26|0.52
2020-06-27|Stafford|Virginia|51179|974|5|2020-06-27|0.51
2020-06-28|Stafford|Virginia|51179|983|5|2020-06-28|0.51
2020-06-29|Stafford|Virginia|51179|985|5|2020-06-29|0.51
2020-06-30|Stafford|Virginia|51179|988|5|2020-06-30|0.51
