state|county|agg_cases|agg_deaths|county_cfr
Maryland|Kent|8997|885|9.84
Maryland|Montgomery|607901|31576|5.19
Maryland|Prince George's|818474|29128|3.56
Maryland|Queen Anne's|8238|629|7.64
Maryland|Somerset|3741|89|2.38
Maryland|St. Mary's|24590|1226|4.99
Maryland|Talbot|4992|143|2.86
Maryland|Unknown|369|4812|1304.07
Maryland|Washington|25614|761|2.97
Maryland|Wicomico|48615|1394|2.87
Maryland|Worcester|10676|553|5.18
Massachusetts|Barnstable|85564|6040|7.06
Massachusetts|Berkshire|39675|2809|7.08
Massachusetts|Bristol|396161|22447|5.67
Massachusetts|Dukes|2033|56|2.75
Massachusetts|Essex|846434|50581|5.98
Massachusetts|Franklin|22084|3165|14.33
Massachusetts|Hampden|360409|34316|9.52
Massachusetts|Hampshire|51238|4511|8.8
Massachusetts|Middlesex|1310641|88763|6.77
Massachusetts|Nantucket|967|0|0
Massachusetts|Norfolk|520280|46981|9.03
Massachusetts|Plymouth|475399|30353|6.38
Massachusetts|Suffolk|1131905|50101|4.43
Massachusetts|Unknown|35664|546|1.53
Massachusetts|Worcester|615504|38377|6.24
Michigan|Alcona|732|54|7.38
Michigan|Alger|19|0|0
Michigan|Allegan|12497|252|2.02
Michigan|Alpena|5835|517|8.86
Michigan|Antrim|867|1|0.12
Michigan|Arenac|2015|67|3.33
Michigan|Baraga|68|0|0
Michigan|Barry|4052|103|2.54
Michigan|Bay|17448|1079|6.18
Michigan|Benzie|283|0|0
Michigan|Berrien|38169|2430|6.37
Michigan|Branch|55802|1383|2.48
Michigan|Calhoun|23035|1295|5.62
Michigan|Cass|4636|185|3.99
Michigan|Charlevoix|1288|82|6.37
Michigan|Cheboygan|1546|85|5.5
Michigan|Chippewa|243|8|3.29
Michigan|Clare|1155|124|10.74
Michigan|Clinton|10845|698|6.44
Michigan|Crawford|3843|295|7.68
Michigan|Delta|1199|138|11.51
Michigan|Dickinson|358|154|43.02
Michigan|Eaton|12949|459|3.54
Michigan|Emmet|1809|164|9.07
Michigan|Genesee|143328|15965|11.14
Michigan|Gladwin|1194|64|5.36
Michigan|Gogebic|372|89|23.92
Michigan|Grand Traverse|2073|375|18.09
Michigan|Gratiot|3839|404|10.52
Michigan|Hillsdale|11215|1500|13.37
Michigan|Houghton|303|0|0
Michigan|Huron|2661|55|2.07
Michigan|Ingham|46134|1394|3.02
Michigan|Ionia|8487|220|2.59
Michigan|Iosco|4938|521|10.55
Michigan|Iron|52|0|0
Michigan|Isabella|5344|522|9.77
Michigan|Jackson|99390|2908|2.93
Michigan|Kalamazoo|46178|2776|6.01
Michigan|Kalkaska|1673|164|9.8
Michigan|Kent|195402|4666|2.39
Michigan|Keweenaw|13|0|0
Michigan|Lake|294|0|0
Michigan|Lapeer|25476|2198|8.63
Michigan|Leelanau|750|0|0
Michigan|Lenawee|37676|366|0.97
Michigan|Livingston|31998|1644|5.14
Michigan|Luce|215|0|0
Michigan|Mackinac|486|0|0
Michigan|Macomb|471195|51691|10.97
Michigan|Manistee|1311|14|1.07
Michigan|Marquette|3722|669|17.97
Michigan|Mason|1681|0|0
Michigan|Mecosta|1421|139|9.78
Michigan|Menominee|449|0|0
Michigan|Midland|6425|485|7.55
Michigan|Missaukee|1175|88|7.49
Michigan|Monroe|31012|1192|3.84
Michigan|Montcalm|4198|77|1.83
Michigan|Montmorency|336|0|0
Michigan|Muskegon|34033|1896|5.57
Michigan|Newaygo|4752|0|0
Michigan|Oakland|648866|62685|9.66
Michigan|Oceana|4314|133|3.08
Michigan|Ogemaw|1401|40|2.86
Michigan|Osceola|886|0|0
Michigan|Oscoda|441|46|10.43
Michigan|Otsego|7564|627|8.29
Michigan|Ottawa|39671|1870|4.71
Michigan|Presque Isle|716|0|0
Michigan|Roscommon|1425|0|0
Michigan|Saginaw|62917|6046|9.61
Michigan|Sanilac|2915|360|12.35
Michigan|Schoolcraft|267|0|0
Michigan|Shiawassee|14925|1271|8.52
Michigan|St. Clair|29994|2198|7.33
Michigan|St. Joseph|6849|125|1.83
Michigan|Tuscola|11179|1393|12.46
Michigan|Unknown|14406|304|2.11
Michigan|Van Buren|8155|336|4.12
Michigan|Washtenaw|115982|6249|5.39
Michigan|Wayne|1435253|154243|10.75
Michigan|Wexford|969|156|16.1
Minnesota|Aitkin|396|0|0
Minnesota|Anoka|64410|3203|4.97
Minnesota|Becker|1900|0|0
Minnesota|Beltrami|913|0|0
Minnesota|Benton|7883|125|1.59
Minnesota|Big Stone|388|0|0
Minnesota|Blue Earth|7002|33|0.47
Minnesota|Brown|930|114|12.26
Minnesota|Carlton|4660|0|0
Minnesota|Carver|9785|80|0.82
Minnesota|Cass|659|88|13.35
Minnesota|Chippewa|2037|28|1.37
Minnesota|Chisago|2856|81|2.84
Minnesota|Clay|21649|1408|6.5
Minnesota|Clearwater|233|0|0
Minnesota|Cook|10|0|0
Minnesota|Cottonwood|4020|0|0
Minnesota|Crow Wing|3407|204|5.99
Minnesota|Dakota|61234|2472|4.04
Minnesota|Dodge|2835|0|0
Minnesota|Douglas|1767|0|0
Minnesota|Faribault|1008|0|0
Minnesota|Fillmore|1265|57|4.51
Minnesota|Freeborn|7087|0|0
Minnesota|Goodhue|3539|167|4.72
Minnesota|Grant|180|0|0
Minnesota|Hennepin|395399|31330|7.92
Minnesota|Houston|201|0|0
Minnesota|Hubbard|109|0|0
Minnesota|Isanti|1662|0|0
Minnesota|Itasca|2508|368|14.67
Minnesota|Jackson|2114|0|0
Minnesota|Kanabec|524|35|6.68
Minnesota|Kandiyohi|23319|56|0.24
Minnesota|Kittson|66|0|0
Minnesota|Koochiching|335|0|0
Minnesota|Lac qui Parle|182|0|0
Minnesota|Lake|67|0|0
Minnesota|Le Sueur|2894|42|1.45
Minnesota|Lincoln|316|0|0
Minnesota|Lyon|4734|39|0.82
Minnesota|Mahnomen|291|48|16.49
Minnesota|Marshall|519|0|0
Minnesota|Martin|8156|372|4.56
Minnesota|McLeod|1712|0|0
Minnesota|Meeker|2101|17|0.81
Minnesota|Mille Lacs|910|65|7.14
Minnesota|Morrison|1910|12|0.63
Minnesota|Mower|16909|57|0.34
Minnesota|Murray|1947|0|0
Minnesota|Nicollet|3596|388|10.79
Minnesota|Nobles|79315|199|0.25
Minnesota|Norman|764|0|0
Minnesota|Olmsted|35636|648|1.82
Minnesota|Otter Tail|3084|18|0.58
Minnesota|Pennington|1048|0|0
Minnesota|Pine|4930|0|0
Minnesota|Pipestone|587|0|0
Minnesota|Polk|3303|85|2.57
